Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
28,74.0,31.0,78.25,183.0,4.421917808219178,2014.0
29,12.0,29.5,79.0,183.0,3.8054794520547945,2014.0
30,77.0,31.0,79.0,183.0,3.841095890410959,2014.0
31,26.0,29.75,80.0,183.0,3.591780821917808,2014.0
32,15.0,29.5,79.75,183.0,3.2986301369863016,2014.0
33,19.0,29.75,78.25,183.0,3.1671232876712327,2014.0
34,68.0,30.75,79.0,183.0,3.7945205479452055,2014.0
35,18.0,29.75,78.0,183.0,3.0191780821917806,2014.0
36,75.0,31.0,78.5,183.0,3.9397260273972603,2014.0
37,82.0,31.25,79.0,183.0,3.695890410958904,2014.0
38,73.0,31.0,78.0,183.0,2.813698630136986,2014.0
39,1.0,29.0,79.25,183.0,3.2849315068493152,2014.0
40,70.0,30.75,79.5,183.0,3.8219178082191783,2014.0
41,58.0,30.5,79.25,183.0,4.134246575342465,2014.0
42,61.0,30.5,80.0,183.0,4.306849315068493,2014.0
43,41.0,30.25,78.25,183.0,3.0657534246575344,2014.0
44,56.0,30.5,78.75,183.0,3.1616438356164385,2014.0
45,34.0,30.0,79.25,183.0,3.052054794520548,2014.0
46,35.0,30.0,79.5,183.0,2.9123287671232876,2014.0
47,33.0,30.0,79.0,183.0,2.712328767123288,2014.0
48,23.0,29.75,79.25,183.0,3.043835616438356,2014.0
49,48.0,30.25,80.0,183.0,4.358904109589041,2014.0
50,13.0,29.5,79.25,183.0,4.471232876712329,2014.0
51,62.0,30.5,80.25,183.0,4.328767123287672,2014.0
52,4.0,29.0,80.0,183.0,3.526027397260274,2014.0
53,44.0,30.25,79.0,183.0,3.063013698630137,2014.0
54,28.0,30.0,77.75,183.0,2.9068493150684933,2014.0
55,47.0,30.25,79.75,183.0,3.96986301369863,2014.0
56,11.0,29.5,78.75,183.0,2.621917808219178,2014.0
57,67.0,30.75,78.75,183.0,3.6684931506849314,2014.0
58,43.0,30.25,78.75,183.0,3.16986301369863,2014.0
59,31.0,30.0,78.5,183.0,2.791780821917808,2014.0
60,50.0,30.25,80.5,183.0,4.30958904109589,2014.0
61,8.0,29.25,79.75,183.0,3.350684931506849,2014.0
62,53.0,30.5,78.0,183.0,3.835616438356164,2014.0
63,10.0,29.25,80.25,183.0,3.421917808219178,2014.0
64,37.0,30.0,80.0,183.0,4.432876712328767,2014.0
65,36.0,30.0,79.75,183.0,3.5232876712328767,2014.0
66,30.0,30.0,78.25,183.0,3.410958904109589,2014.0
67,79.0,31.0,79.5,183.0,3.9095890410958902,2014.0
68,20.0,29.75,78.5,183.0,3.1041095890410957,2014.0
69,9.0,29.25,80.0,183.0,3.2986301369863016,2014.0
70,78.0,31.0,79.25,183.0,3.893150684931507,2014.0
71,59.0,30.5,79.5,183.0,3.841095890410959,2014.0
72,46.0,30.25,79.5,183.0,3.506849315068493,2014.0
73,71.0,30.75,79.75,183.0,4.03013698630137,2014.0
74,54.0,30.5,78.25,183.0,3.495890410958904,2014.0
75,38.0,30.0,80.25,183.0,4.276712328767124,2014.0
76,65.0,30.75,78.25,183.0,4.936986301369863,2014.0
77,22.0,29.75,79.0,183.0,3.4438356164383563,2014.0
78,10.5,29.375,79.5,183.0,4.347945205479452,2014.0
79,6.0,29.25,79.25,183.0,5.095890410958904,2014.0
0,20.5,29.75,78.625,183.0,3.0821917808219177,2015.0
1,47.0,30.25,79.75,183.0,3.654794520547945,2015.0
2,75.0,31.0,78.5,183.0,3.5424657534246577,2015.0
3,8.0,29.25,79.75,183.0,2.9342465753424656,2015.0
4,50.0,30.25,80.5,183.0,3.8547945205479452,2015.0
5,69.0,30.75,79.25,183.0,3.589041095890411,2015.0
6,24.0,29.75,79.5,183.0,2.5013698630136987,2015.0
7,30.0,30.0,78.25,183.0,3.208219178082192,2015.0
8,63.0,30.75,77.75,183.0,3.063013698630137,2015.0
9,42.0,30.25,78.5,183.0,2.208219178082192,2015.0
10,1.0,29.0,79.25,183.0,3.8164383561643835,2015.0
11,10.0,29.25,80.25,183.0,3.276712328767123,2015.0
12,80.0,31.0,79.75,183.0,3.6301369863013697,2015.0
13,82.0,31.25,79.0,183.0,3.317808219178082,2015.0
14,33.0,30.0,79.0,183.0,2.9945205479452053,2015.0
15,38.0,30.0,80.25,183.0,3.8219178082191783,2015.0
16,29.0,30.0,78.0,183.0,3.336986301369863,2015.0
17,0.0,28.75,80.0,183.0,4.610958904109589,2015.0
18,62.0,30.5,80.25,183.0,3.8767123287671232,2015.0
19,53.0,30.5,78.0,183.0,3.9315068493150687,2015.0
20,26.0,29.75,80.0,183.0,3.232876712328767,2015.0
21,67.0,30.75,78.75,183.0,3.276712328767123,2015.0
22,74.0,31.0,78.25,183.0,4.0,2015.0
23,51.5,30.25,80.875,183.0,3.952054794520548,2015.0
24,6.0,29.25,79.25,183.0,5.402739726027397,2015.0
25,5.0,29.25,79.0,183.0,2.378082191780822,2015.0
26,46.0,30.25,79.5,183.0,3.6054794520547944,2015.0
27,58.0,30.5,79.25,183.0,3.83013698630137,2015.0
28,22.0,29.75,79.0,183.0,3.317808219178082,2015.0
29,28.5,29.875,79.25,183.0,3.26986301369863,2015.0
30,72.0,30.75,80.0,183.0,3.8054794520547945,2015.0
31,66.0,30.75,78.5,183.0,3.1671232876712327,2015.0
32,2.0,29.0,79.5,183.0,4.2164383561643834,2015.0
33,57.0,30.5,79.0,183.0,3.5123287671232877,2015.0
34,43.0,30.25,78.75,183.0,2.808219178082192,2015.0
35,41.0,30.25,78.25,183.0,2.682191780821918,2015.0
36,36.0,30.0,79.75,183.0,3.052054794520548,2015.0
37,71.0,30.75,79.75,183.0,3.6794520547945204,2015.0
38,27.0,29.75,80.25,183.0,3.350684931506849,2015.0
39,60.0,30.5,79.75,183.0,3.671232876712329,2015.0
40,44.0,30.25,79.0,183.0,3.4821917808219176,2015.0
41,13.0,29.5,79.25,183.0,4.301369863013699,2015.0
42,49.0,30.25,80.25,183.0,3.8438356164383563,2015.0
43,68.0,30.75,79.0,183.0,3.4986301369863013,2015.0
44,7.0,29.25,79.5,183.0,4.632876712328767,2015.0
45,77.0,31.0,79.0,183.0,3.452054794520548,2015.0
46,56.0,30.5,78.75,183.0,2.8547945205479452,2015.0
47,79.0,31.0,79.5,183.0,3.5835616438356164,2015.0
48,70.0,30.75,79.5,183.0,3.495890410958904,2015.0
49,73.0,31.0,78.0,183.0,3.1561643835616437,2015.0
50,4.0,29.0,80.0,183.0,3.9452054794520546,2015.0
51,59.0,30.5,79.5,183.0,3.484931506849315,2015.0
52,32.0,30.0,78.75,183.0,2.4684931506849317,2015.0
53,35.0,30.0,79.5,183.0,2.6136986301369864,2015.0
54,12.0,29.5,79.0,183.0,3.73972602739726,2015.0
55,17.0,29.5,80.25,183.0,3.041095890410959,2015.0
56,40.0,30.25,78.0,183.0,4.208219178082191,2015.0
57,64.0,30.75,78.0,183.0,3.367123287671233,2015.0
58,65.0,30.75,78.25,183.0,4.438356164383562,2015.0
59,37.0,30.0,80.0,183.0,3.9753424657534246,2015.0
60,45.0,30.25,79.25,183.0,3.7315068493150685,2015.0
61,25.0,29.75,79.75,183.0,2.671232876712329,2015.0
62,55.0,30.5,78.5,183.0,2.6,2015.0
63,18.0,29.75,78.0,183.0,2.7945205479452055,2015.0
64,78.0,31.0,79.25,183.0,3.580821917808219,2015.0
65,39.0,30.0,80.5,183.0,3.712328767123288,2015.0
66,81.0,31.25,78.25,183.0,2.706849315068493,2015.0
67,15.0,29.5,79.75,183.0,2.852054794520548,2015.0
68,48.0,30.25,80.0,183.0,3.9095890410958902,2015.0
69,14.0,29.5,79.5,183.0,3.128767123287671,2015.0
70,19.0,29.75,78.25,183.0,2.6356164383561644,2015.0
71,31.0,30.0,78.5,183.0,3.0657534246575344,2015.0
72,61.0,30.5,80.0,183.0,3.8438356164383563,2015.0
73,76.0,31.0,78.75,183.0,3.441095890410959,2015.0
74,54.0,30.5,78.25,183.0,2.9534246575342467,2015.0
75,16.0,29.5,80.0,183.0,3.095890410958904,2015.0
76,28.0,30.0,77.75,183.0,2.8876712328767122,2015.0
77,9.0,29.25,80.0,183.0,3.0246575342465754,2015.0
78,11.0,29.5,78.75,183.0,2.4602739726027396,2015.0
79,3.0,29.0,79.75,183.0,3.578082191780822,2015.0
0,32.0,30.0,78.75,183.5,2.685792349726776,2016.0
1,60.0,30.5,79.75,183.5,3.8524590163934427,2016.0
2,0.0,28.75,80.0,183.5,4.360655737704918,2016.0
3,74.0,31.0,78.25,183.5,3.297814207650273,2016.0
4,39.0,30.0,80.5,183.5,5.975409836065574,2016.0
5,7.0,29.25,79.5,183.5,5.748633879781421,2016.0
6,69.0,30.75,79.25,183.5,3.879781420765027,2016.0
